BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,BuildingAge
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,15659,26048,78.0,1755788.5,12.24,33
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,57644,,2189735.0,42.87,56
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,39497,9.0,1700057.375,28.28,61
Nonresidential COS,Other,EAST,1.0,1.0,0,33087,,3548858.25,121.9,84
NonResidential,Small- and Mid-Sized Office,NORTHWEST,1.0,2.0,0,27574,73.0,1211349.25,8.44,34
NonResidential,Retail Store,NORTH,1.0,1.0,0,24982,99.0,335245.0,2.34,51
NonResidential,Senior Care Community,NORTH,1.0,5.0,0,43661,4.0,3936421.5,82.57,18
NonResidential,Small- and Mid-Sized Office,NORTHWEST,1.0,3.0,27307,48798,91.0,2472350.25,17.24,29
NonResidential,Mixed Use Property,NORTH,1.0,2.0,0,32009,,1998725.25,44.28,64
NonResidential,Retail Store,NORTH,1.0,1.0,0,41615,69.0,1900006.25,13.25,50
NonResidential,Medical Office,NORTH,1.0,3.0,0,28841,55.0,1459199.75,33.42,28
NonResidential,Self-Storage Facility,NORTH,2.0,2.0,0,33344,,123767.2031,0.86,39
Nonresidential COS,Other,NORTH,2.0,1.0,0,30498,,2436063.0,80.19,11
NonResidential,K-12 School,DELRIDGE,1.0,2.0,0,42975,92.0,959352.0,42.96,92
NonResidential,Other,DELRIDGE,1.0,1.0,0,23260,,1612105.75,52.41,53
NonResidential,Small- and Mid-Sized Office,DELRIDGE,1.0,2.0,0,30659,88.0,2619088.5,55.85,28
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,27144,,1012024.313,32.58,96
NonResidential,Other,NORTHWEST,5.0,1.0,0,23166,,3475804.25,184.6,46
NonResidential,Medical Office,NORTHWEST,1.0,2.0,0,34759,81.0,1633105.375,11.39,37
NonResidential,Hospital,NORTHWEST,8.0,1.0,0,415632,85.0,98960776.0,3278.11,50
NonResidential,Worship Facility,NORTHWEST,1.0,2.0,0,44719,,1614026.25,53.21,51
NonResidential,Supermarket/Grocery Store,GREATER DUWAMISH,1.0,1.0,0,21603,16.0,5833800.0,129.89,51
NonResidential,Medical Office,EAST,1.0,3.0,0,591981,60.0,102673696.0,3238.24,52
NonResidential,Distribution Center,DELRIDGE,1.0,1.0,0,42900,53.0,436252.5,3.04,37
Campus,Other,DELRIDGE,5.0,1.0,0,57952,,3091387.5,96.15,11
NonResidential,Other,DELRIDGE,1.0,1.0,0,26232,,3094090.0,122.71,45
NonResidential,Warehouse,DOWNTOWN,1.0,2.0,0,25840,92.0,313528.0938,2.19,60
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,1.0,0,45145,,1268459.0,43.63,28
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,22095,48237,89.0,1981115.25,19.12,15
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,1.0,0,50546,94.0,1155080.5,12.15,45
NonResidential,Supermarket/Grocery Store,BALLARD,1.0,1.0,0,45522,22.0,12250422.0,326.74,22
NonResidential,Retail Store,NORTHWEST,1.0,2.0,0,20088,,326778.6875,2.28,37
Campus,Other,GREATER DUWAMISH,5.0,2.0,0,138907,,7837692.5,179.55,27
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,40657,57.0,2826828.0,23.6,19
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,20200,,269016.6875,2.25,116
NonResidential,Small- and Mid-Sized Office,EAST,1.0,7.0,20824,33548,94.0,1403820.0,9.79,46
NonResidential,Other,EAST,1.0,1.0,0,47699,,14524386.0,712.39,65
NonResidential,Medical Office,EAST,1.0,0.0,0,274568,52.0,25311526.0,1110.07,71
NonResidential,Small- and Mid-Sized Office,EAST,1.0,3.0,0,21282,69.0,1245923.75,62.23,60
NonResidential,Other,SOUTHEAST,1.0,2.0,0,41022,,3787648.25,26.41,95
NonResidential,Other,DELRIDGE,1.0,2.0,0,28109,,3612526.75,38.39,50
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,3.0,12990,20590,100.0,409578.4063,2.86,31
NonResidential,Warehouse,NORTH,1.0,1.0,0,21936,100.0,113130.0,2.69,39
NonResidential,Other,NORTH,1.0,1.0,0,30160,,1045838.5,44.26,47
NonResidential,Mixed Use Property,DOWNTOWN,1.0,11.0,0,111137,,9546165.0,294.65,107
NonResidential,Other,DELRIDGE,1.0,1.0,0,40189,,1509292.0,37.65,19
NonResidential,Small- and Mid-Sized Office,DELRIDGE,1.0,2.0,0,66484,69.0,3046543.0,21.24,28
NonResidential,Small- and Mid-Sized Office,EAST,1.0,3.0,0,25151,85.0,1356874.75,62.05,57
NonResidential,Hotel,EAST,1.0,6.0,0,35770,56.0,2640980.25,112.34,88
NonResidential,Hotel,EAST,1.0,9.0,0,48006,85.0,3239754.0,101.31,88
NonResidential,Mixed Use Property,DOWNTOWN,1.0,2.0,0,29631,,5144392.0,146.93,56
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,2.0,0,23472,,1625308.625,46.45,27
Nonresidential COS,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,21315,34.0,2796425.0,110.66,43
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,15812,41298,69.0,2190460.0,24.31,32
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,3.0,0,34030,50.0,1748629.875,22.26,37
NonResidential,Restaurant,SOUTHWEST,1.0,2.0,0,20398,,9313513.0,334.15,114
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,41308,7.0,1642471.5,38.57,64
NonResidential,Mixed Use Property,DOWNTOWN,1.0,3.0,0,43878,,769771.3125,5.37,103
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,34976,,873711.125,15.7,104
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,38255,12.0,985401.8125,33.8,59
Campus,Other,MAGNOLIA / QUEEN ANNE,23.0,1.0,0,260241,,34012980.0,565.55,61
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,48924,71.0,2282551.25,59.24,27
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,18036,32297,88.0,1602084.375,11.17,57
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,21906,35526,,2520483.25,17.57,30
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,7956,17956,,666740.3125,4.65,47
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,21908,35224,73.0,1994967.75,13.91,16
NonResidential,Worship Facility,DELRIDGE,1.0,2.0,0,24224,52.0,968026.3125,26.73,59
NonResidential,Worship Facility,DELRIDGE,1.0,1.0,0,23706,78.0,400770.9063,13.12,53
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,31900,,1964681.25,13.7,53
NonResidential,Other,SOUTHWEST,1.0,1.0,0,49066,,3835202.0,178.86,99
NonResidential,Worship Facility,SOUTHWEST,1.0,3.0,0,30740,,1686262.25,61.3,64
NonResidential,Supermarket/Grocery Store,SOUTHEAST,1.0,1.0,0,67450,97.0,2842819.5,55.86,57
SPS-District K-12,K-12 School,BALLARD,1.0,1.0,0,39971,,0.0,50.22,58
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,46970,,882896.5,6.16,68
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,47554,,1035554.688,16.04,85
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,5400,37616,100.0,1234095.5,60.57,37
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,24196,,1055033.0,22.29,85
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,20671,98.0,638507.125,24.76,76
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,21600,57.0,499828.5938,14.36,89
NonResidential,Worship Facility,SOUTHWEST,1.0,1.0,0,35844,14.0,866126.375,6.04,39
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,31774,85.0,1639136.25,18.87,100
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,26094,19.0,709990.8125,4.95,63
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,23687,68.0,1084553.75,7.56,33
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,24221,20.0,1435562.75,10.01,33
NonResidential,Mixed Use Property,DOWNTOWN,1.0,2.0,14083,57836,37.0,5381105.0,37.51,116
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,2.0,0,32027,54.0,3999505.25,128.41,116
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,3.0,0,32160,,2805826.0,19.56,110
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,7572,40264,,3540225.75,109.59,24
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3.0,0,34425,84.0,2018385.75,50.07,102
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,2.0,0,52609,67.0,1801941.75,46.51,45
NonResidential,Medical Office,SOUTHWEST,1.0,3.0,12000,28304,5.0,1961581.5,13.67,32
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,29619,50.0,1280263.75,42.45,26
NonResidential,K-12 School,CENTRAL,1.0,2.0,0,21592,47.0,1431784.0,54.24,94
NonResidential,K-12 School,NORTH,1.0,2.0,0,23923,69.0,805643.5,19.51,85
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,3.0,0,25200,47.0,1748444.25,37.08,109
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,1.0,0,45068,100.0,284857.3125,8.59,69
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2.0,0,28296,80.0,1328461.25,9.26,53
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,3.0,0,31357,55.0,1965075.625,22.48,17
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,160000,94.0,1157976.5,8.07,48
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,53550,11.0,4590246.5,174.62,56
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,38412,62.0,1628540.0,67.05,92
NonResidential,Self-Storage Facility,GREATER DUWAMISH,1.0,1.0,0,25881,,545426.375,3.8,86
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,24291,98.0,655422.375,19.61,63
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,36544,5.0,1269847.75,8.85,50
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,20796,,1324092.125,51.1,67
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,21349,70.0,659761.875,17.04,69
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,38630,33.0,416885.5938,2.91,80
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,20724,,1832031.5,83.3,66
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,24109,,4747403.5,33.1,56
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,1.0,0,25375,,4069301.5,28.37,61
Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,1.0,0,22803,78.0,764094.5,21.5,31
Nonresidential COS,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,23100,,4323672.0,157.07,31
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,1.0,0,41550,94.0,642645.1875,4.48,65
NonResidential,Other,GREATER DUWAMISH,1.0,2.0,0,54170,,5804784.5,178.35,22
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,2.0,0,64493,85.0,1989763.875,28.57,16
NonResidential,K-12 School,SOUTHEAST,1.0,2.0,0,42252,49.0,2203758.5,102.35,104
NonResidential,Self-Storage Facility,GREATER DUWAMISH,1.0,1.0,0,23100,,863703.0,13.87,61
NonResidential,Worship Facility,SOUTHEAST,1.0,3.0,0,22895,96.0,440419.1875,12.92,35
NonResidential,Retail Store,GREATER DUWAMISH,1.0,2.0,17471,36740,100.0,1267463.125,8.84,14
SPS-District K-12,K-12 School,SOUTHEAST,1.0,1.0,0,41428,90.0,1404702.25,44.27,55
NonResidential,Self-Storage Facility,NORTHEAST,1.0,6.0,7132,41047,,797170.3125,12.22,10
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,52325,67.0,808968.1875,18.03,79
NonResidential,Other,GREATER DUWAMISH,1.0,4.0,0,20600,,270838.5,9.71,96
Campus,Other,GREATER DUWAMISH,10.0,0.0,0,230971,,21022288.0,405.05,25
NonResidential,Retail Store,GREATER DUWAMISH,1.0,1.0,0,25880,100.0,162960.0,1.14,72
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,45842,99.0,819354.625,12.55,56
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,31365,,652991.6875,5.09,44
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,32100,,758008.875,25.77,106
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,20520,20.0,1167887.75,40.85,50
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,22972,12.0,495481.0,3.45,71
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,24990,80.0,523614.0938,8.7,63
NonResidential,Retail Store,GREATER DUWAMISH,1.0,2.0,0,24000,,1318947.25,40.94,65
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,100386,,3626431.5,95.93,53
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,24354,10.0,735907.8125,17.29,50
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,33600,58.0,847419.375,15.35,57
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,20819,,1694930.375,51.27,42
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,23296,,1429855.75,40.01,49
NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,35222,,1758134.625,40.42,62
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,1.0,0,25520,100.0,1610794.75,59.0,59
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,25460,,834711.875,5.82,64
SPS-District K-12,K-12 School,DELRIDGE,1.0,1.0,0,41526,79.0,1814947.0,56.04,46
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,2.0,0,24291,87.0,920430.625,6.42,42
NonResidential,Retail Store,NORTH,1.0,2.0,0,20738,44.0,526752.8125,3.67,58
NonResidential,Mixed Use Property,NORTH,1.0,4.0,0,30948,,919746.3125,6.41,16
NonResidential,Medical Office,NORTH,1.0,2.0,7056,21329,1.0,2654316.0,18.5,30
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,21755,,844076.8125,17.51,38
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,27933,,6129780.0,42.73,56
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,23143,75.0,1139980.625,38.87,33
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,28800,73.0,2107743.75,60.12,54
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,39600,85.0,405050.4063,2.82,64
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,39600,91.0,468396.9063,9.25,64
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,41248,37.0,1108310.875,16.5,79
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,36400,,1567746.75,46.16,7
NonResidential,Other,SOUTHWEST,1.0,1.0,0,31332,,3573328.25,24.91,96
NonResidential,Worship Facility,SOUTHWEST,1.0,2.0,0,35864,75.0,1228113.5,43.64,68
NonResidential,Worship Facility,GREATER DUWAMISH,1.0,1.0,0,20484,69.0,822636.625,38.38,62
NonResidential,Medical Office,NORTHEAST,1.0,4.0,17622,27642,4.0,1849331.25,12.89,32
NonResidential,Medical Office,NORTHEAST,2.0,4.0,14576,22356,,2824096.75,19.69,29
NonResidential,Other,CENTRAL,1.0,4.0,0,45082,,4262316.5,93.5,43
NonResidential,Worship Facility,NORTHWEST,0.0,2.0,0,41600,58.0,1195165.25,30.99,65
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,2.0,0,34110,31.0,2563985.5,17.87,56
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,23750,,522972.1875,3.65,46
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,43390,87.0,533742.8125,3.72,46
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,35400,84.0,419978.6875,9.29,57
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,28144,19.0,858701.0,8.22,50
NonResidential,Warehouse,GREATER DUWAMISH,1.0,3.0,0,71283,41.0,2491238.25,43.17,100
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,23792,,2852102.75,19.88,27
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,47368,99.0,1042652.625,7.27,37
NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,46183,,1890502.5,27.92,85
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,5.0,22788,49825,84.0,2602213.75,41.96,32
NonResidential,Retail Store,SOUTHEAST,1.0,1.0,0,36071,97.0,1519952.125,50.76,48
SPS-District K-12,K-12 School,SOUTHEAST,1.0,3.0,0,51672,97.0,1436510.375,20.3,27
Nonresidential COS,Medical Office,SOUTHEAST,1.0,2.0,11082,27270,36.0,2108861.75,14.7,26
Nonresidential COS,Mixed Use Property,SOUTHEAST,1.0,1.0,0,28425,,2133797.75,57.25,21
NonResidential,Other,NORTH,1.0,3.0,0,35115,,1922953.25,31.94,7
NonResidential,Mixed Use Property,NORTHWEST,1.0,1.0,0,66704,,600516.875,19.77,44
Nonresidential COS,Warehouse,NORTHWEST,1.0,1.0,0,25658,,1063960.125,18.87,47
NonResidential,Small- and Mid-Sized Office,EAST,1.0,2.0,0,36000,95.0,1046187.625,18.04,109
NonResidential,Mixed Use Property,EAST,1.0,1.0,0,36000,59.0,1162163.125,26.52,103
NonResidential,Warehouse,EAST,1.0,2.0,0,43200,38.0,1929851.5,49.18,101
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,4.0,12870,40970,71.0,2912454.75,46.85,103
NonResidential,Retail Store,GREATER DUWAMISH,1.0,1.0,0,43794,88.0,1164537.75,23.5,41
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,48280,18.0,2701833.75,78.57,48
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,36040,,363808.1875,7.74,62
NonResidential,Supermarket/Grocery Store,NORTHEAST,1.0,1.0,0,32822,42.0,8839812.0,219.93,51
SPS-District K-12,K-12 School,NORTHEAST,1.0,1.0,0,64314,86.0,2936336.25,108.05,68
NonResidential,Worship Facility,NORTHEAST,1.0,2.0,0,20385,65.0,809291.8125,34.04,66
NonResidential,Worship Facility,NORTHEAST,1.0,1.0,0,24295,53.0,216115.0,1.51,70
NonResidential,Small- and Mid-Sized Office,NORTHEAST,1.0,2.0,0,20317,83.0,620994.3125,4.33,49
NonResidential,Supermarket/Grocery Store,NORTHEAST,1.0,1.0,0,24377,6.0,9851260.0,260.32,43
NonResidential,Other,NORTHWEST,1.0,1.0,0,33392,,2786648.75,19.43,30
NonResidential,Supermarket/Grocery Store,NORTHWEST,0.0,1.0,0,45155,6.0,6674179.5,158.63,30
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,32000,3.0,2186148.5,41.77,50
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,44000,15.0,4302455.5,175.53,46
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,36000,44.0,2771820.5,124.4,43
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,31360,,1356972.25,43.18,37
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,33320,,2339234.0,64.75,37
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,48020,71.0,2373568.25,59.14,37
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,27420,55.0,1176342.25,39.05,37
NonResidential,K-12 School,CENTRAL,1.0,2.0,0,24152,100.0,161363.4063,1.12,87
NonResidential,K-12 School,NORTHEAST,1.0,2.0,0,43645,71.0,2053956.375,85.15,67
NonResidential,Retail Store,NORTHEAST,1.0,1.0,0,26853,68.0,1399062.75,21.46,64
NonResidential,Other,GREATER DUWAMISH,1.0,4.0,0,44775,,950695.625,29.88,107
NonResidential,Other,GREATER DUWAMISH,2.0,1.0,0,27760,,2833624.5,112.82,100
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,20975,,347437.6875,6.46,79
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,26075,,1608508.75,17.6,98
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,29394,60.0,1486681.75,26.27,24
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,20400,69.0,438557.0,12.17,90
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,20460,16.0,903541.875,6.3,90
NonResidential,Self-Storage Facility,GREATER DUWAMISH,1.0,2.0,0,25821,,209698.7031,1.46,91
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,2.0,0,21870,45.0,1074350.375,7.49,61
NonResidential,Warehouse,GREATER DUWAMISH,3.0,1.0,0,51664,,3528086.75,66.77,28
NonResidential,Medical Office,DELRIDGE,1.0,1.0,0,43615,89.0,3133849.5,106.35,46
NonResidential,Small- and Mid-Sized Office,DELRIDGE,1.0,3.0,0,36879,26.0,1144267.5,7.98,46
Nonresidential COS,Other,DELRIDGE,1.0,2.0,0,28531,,3494929.5,92.7,14
NonResidential,Warehouse,DELRIDGE,1.0,2.0,0,36600,80.0,308400.4063,2.15,34
NonResidential,Mixed Use Property,SOUTHWEST,1.0,5.0,0,35176,,1011965.375,7.05,12
SPS-District K-12,K-12 School,NORTH,1.0,1.0,0,36701,87.0,1564891.75,47.98,57
NonResidential,College/University,LAKE UNION,1.0,2.0,15243,26050,,2839882.25,61.68,76
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,48890,49.0,2100216.5,61.6,75
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3.0,0,43473,3.0,4416909.5,30.79,16
NonResidential,Retail Store,DELRIDGE,1.0,1.0,0,40265,19.0,3740373.75,35.48,26
NonResidential,Retail Store,DELRIDGE,1.0,1.0,0,26208,79.0,1608884.25,37.61,11
Nonresidential COS,Other,DELRIDGE,0.0,2.0,0,27227,,8054334.0,286.89,41
NonResidential,Mixed Use Property,BALLARD,1.0,1.0,0,42172,,3275779.25,152.14,90
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,0,32250,92.0,796042.375,11.44,106
NonResidential,Retail Store,NORTHWEST,1.0,1.0,0,51000,95.0,1298039.875,14.17,63
NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,27000,,229856.4063,1.6,100
NonResidential,Other,GREATER DUWAMISH,1.0,2.0,0,20747,,1001964.0,17.45,81
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,40800,,817255.875,27.83,88
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,20150,80.0,576174.125,4.02,96
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,7.0,0,36000,40.0,1682454.875,11.73,107
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,41276,,2502081.0,96.62,78
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,0.0,2.0,0,24430,,1232822.875,23.62,79
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,0,27690,,16808.90039,0.12,106
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,22580,90.0,928584.875,9.65,89
NonResidential,Warehouse,CENTRAL,1.0,1.0,0,20000,18.0,743528.125,33.52,90
NonResidential,Warehouse,CENTRAL,1.0,1.0,0,42000,,2070005.625,82.07,62
NonResidential,Self-Storage Facility,CENTRAL,1.0,1.0,0,24248,,111969.7031,0.79,54
NonResidential,Senior Care Community,NORTH,1.0,6.0,0,244500,100.0,11019641.0,292.8,7
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,24617,,106918.0,0.75,84
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,84710,42355,,3245111.5,22.62,7
NonResidential,Retail Store,GREATER DUWAMISH,1.0,1.0,0,37247,69.0,1748644.5,58.36,52
NonResidential,Retail Store,BALLARD,1.0,1.0,0,25384,11.0,3027867.5,77.23,23
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,0.0,3.0,0,49052,96.0,1441445.625,10.05,106
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,52110,34.0,586589.1875,25.15,116
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,20970,100.0,204499.0938,5.43,106
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,39036,,1528295.75,39.25,79
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,26310,96.0,771512.6875,14.99,93
NonResidential,Retail Store,SOUTHEAST,1.0,1.0,0,37883,88.0,12434593.0,413.1,50
NonResidential,K-12 School,DELRIDGE,1.0,3.0,0,29874,95.0,1274049.75,54.27,54
NonResidential,Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,20140,35.0,992794.6875,47.08,51
NonResidential,Self-Storage Facility,NORTHWEST,1.0,2.0,31389,40485,,1242811.75,44.97,26
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2.0,0,39953,93.0,1508561.875,28.05,45
NonResidential,Retail Store,CENTRAL,1.0,2.0,0,21200,15.0,1676426.5,11.69,18
NonResidential,Supermarket/Grocery Store,CENTRAL,1.0,1.0,0,30630,27.0,6058494.0,42.24,36
NonResidential,Retail Store,CENTRAL,1.0,2.0,0,23421,25.0,1896626.375,13.22,36
SPS-District K-12,K-12 School,BALLARD,1.0,3.0,0,117116,83.0,5722325.5,256.31,85
NonResidential,Worship Facility,BALLARD,1.0,2.0,0,24120,66.0,893053.1875,31.54,88
NonResidential,Worship Facility,BALLARD,1.0,3.0,0,35736,88.0,1148202.25,51.15,87
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,51050,10.0,1206165.75,27.75,75
NonResidential,Retail Store,GREATER DUWAMISH,1.0,2.0,0,21900,40.0,1302192.875,42.66,62
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,16300,100.0,150167.7969,1.6,64
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,33462,1.0,1386445.375,9.67,52
NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,35310,,1331469.75,44.68,64
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,0,36140,,4653535.0,32.44,54
NonResidential,Other,DOWNTOWN,1.0,2.0,21384,26579,,8163413.0,298.91,25
NonResidential,Warehouse,DOWNTOWN,1.0,1.0,0,23903,65.0,415364.5938,14.37,86
